gene,name,GO,description,meta
Locus_10275_Transcript_2_Length_1788_genewise_newlength_1716__CDS__223__1410.orfnuc.phy,basic-leucine zipper transcription factor family protein,GO:0003700,sequence-specific DNA binding transcription factor activity,F
Locus_10275_Transcript_2_Length_1788_genewise_newlength_1716__CDS__223__1410.orfnuc.phy,basic-leucine zipper transcription factor family protein,GO:0051170,nuclear import,P
Locus_10275_Transcript_2_Length_1788_genewise_newlength_1716__CDS__223__1410.orfnuc.phy,basic-leucine zipper transcription factor family protein,GO:0009970,cellular response to sulfate starvation,P
Locus_10275_Transcript_2_Length_1788_genewise_newlength_1716__CDS__223__1410.orfnuc.phy,basic-leucine zipper transcription factor family protein,GO:0045893,"positive regulation of transcription, DNA-dependent",P
Locus_10275_Transcript_2_Length_1788_genewise_newlength_1716__CDS__223__1410.orfnuc.phy,basic-leucine zipper transcription factor family protein,GO:0051019,mitogen-activated protein kinase binding,F
Locus_10275_Transcript_2_Length_1788_genewise_newlength_1716__CDS__223__1410.orfnuc.phy,basic-leucine zipper transcription factor family protein,GO:0005634,nucleus,C
Locus_8944_Transcript_1_Length_1765_genewise_newlength_1765__CDS__2__1567.orfnuc.phy,beta- gba2 type family protein,GO:0005886,plasma membrane,C
Locus_8944_Transcript_1_Length_1765_genewise_newlength_1765__CDS__2__1567.orfnuc.phy,beta- gba2 type family protein,GO:0005794,Golgi apparatus,C
Locus_8944_Transcript_1_Length_1765_genewise_newlength_1765__CDS__2__1567.orfnuc.phy,beta- gba2 type family protein,GO:0005773,vacuole,C
Locus_8944_Transcript_1_Length_1765_genewise_newlength_1765__CDS__2__1567.orfnuc.phy,beta- gba2 type family protein,GO:0016021,integral to membrane,C
Locus_8944_Transcript_1_Length_1765_genewise_newlength_1765__CDS__2__1567.orfnuc.phy,beta- gba2 type family protein,GO:0006665,sphingolipid metabolic process,P
Locus_8944_Transcript_1_Length_1765_genewise_newlength_1765__CDS__2__1567.orfnuc.phy,beta- gba2 type family protein,GO:0004348,glucosylceramidase activity,F
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0044446,intracellular organelle part,C
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0009628,response to abiotic stimulus,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0004015,adenosylmethionine-8-amino-7-oxononanoate transaminase activity,F
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0006306,DNA methylation,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0009102,biotin biosynthetic process,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0006952,defense response,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0051726,regulation of cell cycle,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0048513,organ development,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0048868,pollen tube development,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0010033,response to organic substance,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0006536,glutamate metabolic process,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:1901606,alpha-amino acid catabolic process,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:1901607,alpha-amino acid biosynthetic process,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0006270,DNA replication initiation,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0005739,mitochondrion,C
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0005975,carbohydrate metabolic process,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0006275,regulation of DNA replication,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0051567,histone H3-K9 methylation,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0008283,cell proliferation,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0046914,transition metal ion binding,F
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0048367,shoot system development,P
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0009507,chloroplast,C
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0004141,dethiobiotin synthase activity,F
Locus_13000_Transcript_8_Length_2180_genewise_newlength_1655__CDS__2__1429.orfnuc.phy,bifunctional dethiobiotin synthetase -diamino-pelargonic acid aminotransferase,GO:0030170,pyridoxal phosphate binding,F
Locus_4398_Transcript_5_Length_2143_genewise_newlength_2143__CDS__1173__1769.orfnuc.phy,biotin lipoyl attachment domain-containing protein,GO:0009507,chloroplast,C
Locus_3170_Transcript_4_Length_5430_genewise_newlength_5430__CDS__334__4887.orfnuc.phy,bromo-adjacent homology domain-containing protein,GO:0031053,primary miRNA processing,P
Locus_3170_Transcript_4_Length_5430_genewise_newlength_5430__CDS__334__4887.orfnuc.phy,bromo-adjacent homology domain-containing protein,GO:0035278,negative regulation of translation involved in gene silencing by miRNA,P
Locus_3170_Transcript_4_Length_5430_genewise_newlength_5430__CDS__334__4887.orfnuc.phy,bromo-adjacent homology domain-containing protein,GO:0000932,cytoplasmic mRNA processing body,C
Locus_3170_Transcript_4_Length_5430_genewise_newlength_5430__CDS__334__4887.orfnuc.phy,bromo-adjacent homology domain-containing protein,GO:0005634,nucleus,C
Locus_3170_Transcript_4_Length_5430_genewise_newlength_5430__CDS__334__4887.orfnuc.phy,bromo-adjacent homology domain-containing protein,GO:0003682,chromatin binding,F
Locus_3170_Transcript_4_Length_5430_genewise_newlength_5430__CDS__334__4887.orfnuc.phy,bromo-adjacent homology domain-containing protein,GO:0006351,"transcription, DNA-dependent",P
Locus_3170_Transcript_4_Length_5430_genewise_newlength_5430__CDS__334__4887.orfnuc.phy,bromo-adjacent homology domain-containing protein,GO:0003677,DNA binding,F
Locus_498_Transcript_2_Length_1498_genewise_newlength_1272__CDS__111__965.orfnuc.phy,bsd domain-containing protein,GO:0005634,nucleus,C
Locus_1620_Transcript_2_Length_2396_genewise_newlength_2223__CDS__330__1838.orfnuc.phy,btb poz domain-containing protein,GO:0005737,cytoplasm,C
Locus_1620_Transcript_2_Length_2396_genewise_newlength_2223__CDS__330__1838.orfnuc.phy,btb poz domain-containing protein,GO:0009954,proximal/distal pattern formation,P
Locus_1620_Transcript_2_Length_2396_genewise_newlength_2223__CDS__330__1838.orfnuc.phy,btb poz domain-containing protein,GO:0048439,flower morphogenesis,P
Locus_1620_Transcript_2_Length_2396_genewise_newlength_2223__CDS__330__1838.orfnuc.phy,btb poz domain-containing protein,GO:0005634,nucleus,C
Locus_1620_Transcript_2_Length_2396_genewise_newlength_2223__CDS__330__1838.orfnuc.phy,btb poz domain-containing protein,GO:0046982,protein heterodimerization activity,F
Locus_1620_Transcript_2_Length_2396_genewise_newlength_2223__CDS__330__1838.orfnuc.phy,btb poz domain-containing protein,GO:0010114,response to red light,P
Locus_1620_Transcript_2_Length_2396_genewise_newlength_2223__CDS__330__1838.orfnuc.phy,btb poz domain-containing protein,GO:0042803,protein homodimerization activity,F
Locus_1620_Transcript_2_Length_2396_genewise_newlength_2223__CDS__330__1838.orfnuc.phy,btb poz domain-containing protein,GO:0010227,floral organ abscission,P
Locus_5550_Transcript_1_Length_2927_genewise_newlength_2927__CDS__981__2597.orfnuc.phy,btb poz domain-containing protein,GO:0005634,nucleus,C
Locus_2579_Transcript_2_Length_1389_genewise_newlength_1389__CDS__188__1168.orfnuc.phy,c-cap cofactor c-like domain-containing protein,GO:0005737,cytoplasm,C
Locus_2579_Transcript_2_Length_1389_genewise_newlength_1389__CDS__188__1168.orfnuc.phy,c-cap cofactor c-like domain-containing protein,GO:0000910,cytokinesis,P
Locus_2579_Transcript_2_Length_1389_genewise_newlength_1389__CDS__188__1168.orfnuc.phy,c-cap cofactor c-like domain-containing protein,GO:0000226,microtubule cytoskeleton organization,P
Locus_2579_Transcript_2_Length_1389_genewise_newlength_1389__CDS__188__1168.orfnuc.phy,c-cap cofactor c-like domain-containing protein,GO:0007021,tubulin complex assembly,P
Locus_2579_Transcript_2_Length_1389_genewise_newlength_1389__CDS__188__1168.orfnuc.phy,c-cap cofactor c-like domain-containing protein,GO:0000902,cell morphogenesis,P
Locus_2579_Transcript_2_Length_1389_genewise_newlength_1389__CDS__188__1168.orfnuc.phy,c-cap cofactor c-like domain-containing protein,GO:0007023,post-chaperonin tubulin folding pathway,P
Locus_19047_Transcript_3_Length_2135_genewise_newlength_2135__CDS__80__1786.orfnuc.phy,c-cap cofactor c-like domain-containing protein,GO:0005634,nucleus,C
Locus_19047_Transcript_3_Length_2135_genewise_newlength_2135__CDS__80__1786.orfnuc.phy,c-cap cofactor c-like domain-containing protein,GO:0005829,cytosol,C
Locus_19047_Transcript_3_Length_2135_genewise_newlength_2135__CDS__80__1786.orfnuc.phy,c-cap cofactor c-like domain-containing protein,GO:0000902,cell morphogenesis,P
Locus_4102_Transcript_6_Length_2998_genewise_newlength_2612__CDS__243__1970.orfnuc.phy,c2 domain and gram domain-containing protein,GO:0031348,negative regulation of defense response,P
Locus_4102_Transcript_6_Length_2998_genewise_newlength_2612__CDS__243__1970.orfnuc.phy,c2 domain and gram domain-containing protein,GO:0009627,systemic acquired resistance,P
Locus_4102_Transcript_6_Length_2998_genewise_newlength_2612__CDS__243__1970.orfnuc.phy,c2 domain and gram domain-containing protein,GO:0009617,response to bacterium,P
Locus_4102_Transcript_6_Length_2998_genewise_newlength_2612__CDS__243__1970.orfnuc.phy,c2 domain and gram domain-containing protein,GO:0043231,intracellular membrane-bounded organelle,C
Locus_4102_Transcript_6_Length_2998_genewise_newlength_2612__CDS__243__1970.orfnuc.phy,c2 domain and gram domain-containing protein,GO:0009697,salicylic acid biosynthetic process,P
Locus_4102_Transcript_6_Length_2998_genewise_newlength_2612__CDS__243__1970.orfnuc.phy,c2 domain and gram domain-containing protein,GO:0005576,extracellular region,C
Locus_4102_Transcript_6_Length_2998_genewise_newlength_2612__CDS__243__1970.orfnuc.phy,c2 domain and gram domain-containing protein,GO:0005515,protein binding,F
Locus_13643_Transcript_2_Length_2369_genewise_newlength_2166__CDS__585__1859.orfnuc.phy,caax prenyl protease 1 homolog,GO:0005773,vacuole,C
Locus_13643_Transcript_2_Length_2369_genewise_newlength_2166__CDS__585__1859.orfnuc.phy,caax prenyl protease 1 homolog,GO:0004222,metalloendopeptidase activity,F
Locus_13643_Transcript_2_Length_2369_genewise_newlength_2166__CDS__585__1859.orfnuc.phy,caax prenyl protease 1 homolog,GO:0006888,ER to Golgi vesicle-mediated transport,P
Locus_13643_Transcript_2_Length_2369_genewise_newlength_2166__CDS__585__1859.orfnuc.phy,caax prenyl protease 1 homolog,GO:0006508,proteolysis,P
Locus_13643_Transcript_2_Length_2369_genewise_newlength_2166__CDS__585__1859.orfnuc.phy,caax prenyl protease 1 homolog,GO:0005783,endoplasmic reticulum,C
Locus_13643_Transcript_2_Length_2369_genewise_newlength_2166__CDS__585__1859.orfnuc.phy,caax prenyl protease 1 homolog,GO:0016020,membrane,C
Locus_13643_Transcript_2_Length_2369_genewise_newlength_2166__CDS__585__1859.orfnuc.phy,caax prenyl protease 1 homolog,GO:0071586,CAAX-box protein processing,P
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0000226,microtubule cytoskeleton organization,P
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0000913,preprophase band assembly,P
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0005515,protein binding,F
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0007155,cell adhesion,P
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0045010,actin nucleation,P
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0009524,phragmoplast,C
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0009826,unidimensional cell growth,P
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0005819,spindle,C
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0010090,trichome morphogenesis,P
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0048765,root hair cell differentiation,P
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0030865,cortical cytoskeleton organization,P
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0005634,nucleus,C
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0030359,protein phosphatase type 2B regulator activity,F
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0071555,cell wall organization,P
Locus_18804_Transcript_3_Length_2394_genewise_newlength_1814__CDS__171__1601.orfnuc.phy,calcium-binding ef-hand-containing protein,GO:0005509,calcium ion binding,F
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0005774,vacuolar membrane,C
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0004871,signal transducer activity,F
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0009739,response to gibberellin stimulus,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0005515,protein binding,F
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0051640,organelle localization,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0042542,response to hydrogen peroxide,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0009612,response to mechanical stimulus,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0010099,regulation of photomorphogenesis,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0051592,response to calcium ion,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0005509,calcium ion binding,F
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0048767,root hair elongation,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0005777,peroxisome,C
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0009846,pollen germination,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0005982,starch metabolic process,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0030163,protein catabolic process,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0009409,response to cold,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0019722,calcium-mediated signaling,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0009408,response to heat,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0009737,response to abscisic acid stimulus,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0009646,response to absence of light,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0009909,regulation of flower development,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0048574,"long-day photoperiodism, flowering",P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0005886,plasma membrane,C
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0045087,innate immune response,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0005634,nucleus,C
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0009733,response to auxin stimulus,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0009961,response to 1-aminocyclopropane-1-carboxylic acid,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0080164,regulation of nitric oxide metabolic process,P
Locus_5256_Transcript_1_Length_986_genewise_newlength_986__CDS__97__588.orfnuc.phy,calcium-binding protein cml27,GO:0005739,mitochondrion,C
Locus_7598_Transcript_1_Length_1979_genewise_newlength_1979__CDS__821__1807.orfnuc.phy,calcium-dependent phosphotriesterase superfamily protein,GO:0005576,extracellular region,C
Locus_7598_Transcript_1_Length_1979_genewise_newlength_1979__CDS__821__1807.orfnuc.phy,calcium-dependent phosphotriesterase superfamily protein,GO:0005783,endoplasmic reticulum,C
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:1901617,organic hydroxy compound biosynthetic process,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0005388,calcium-transporting ATPase activity,F
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0009827,plant-type cell wall modification,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:1901362,organic cyclic compound biosynthetic process,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0009705,plant-type vacuole membrane,C
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0010200,response to chitin,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0055071,manganese ion homeostasis,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0007338,single fertilization,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0019438,aromatic compound biosynthetic process,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0009570,chloroplast stroma,C
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0043069,negative regulation of programmed cell death,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0010584,pollen exine formation,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0015672,monovalent inorganic cation transport,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0009651,response to salt stress,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0009506,plasmodesma,C
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0044711,single-organism biosynthetic process,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0042742,defense response to bacterium,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0030968,endoplasmic reticulum unfolded protein response,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0005262,calcium channel activity,F
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0009706,chloroplast inner membrane,C
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0005886,plasma membrane,C
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0048281,inflorescence morphogenesis,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0055081,anion homeostasis,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0006865,amino acid transport,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0009624,response to nematode,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0043621,protein self-association,F
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0008270,zinc ion binding,F
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0005794,Golgi apparatus,C
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0004089,carbonate dehydratase activity,F
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0010038,response to metal ion,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0048193,Golgi vesicle transport,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0005516,calmodulin binding,F
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0006882,cellular zinc ion homeostasis,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0061024,membrane organization,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0006730,one-carbon metabolic process,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0010037,response to carbon dioxide,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0009535,chloroplast thylakoid membrane,C
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0009860,pollen tube growth,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0002679,respiratory burst involved in defense response,P
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0005789,endoplasmic reticulum membrane,C
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0016021,integral to membrane,C
Locus_4761_Transcript_9_Length_4213_genewise_newlength_3982__CDS__300__3524.orfnuc.phy,calcium-transporting atpase 8,GO:0005524,ATP binding,F
