gen,name,GO,description,meta
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0004013,adenosylhomocysteinase activity,F
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0051049,regulation of transport,P
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0006816,calcium ion transport,P
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0009651,response to salt stress,P
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0080129,proteasome core complex assembly,P
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0048767,root hair elongation,P
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0005794,Golgi apparatus,C
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0006972,hyperosmotic response,P
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0005829,cytosol,C
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0006730,one-carbon metabolic process,P
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0006511,ubiquitin-dependent protein catabolic process,P
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0007030,Golgi organization,P
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0016441,posttranscriptional gene silencing,P
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0006096,glycolysis,P
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0046686,response to cadmium ion,P
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0019344,cysteine biosynthetic process,P
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0009506,plasmodesma,C
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0009266,response to temperature stimulus,P
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0005886,plasma membrane,C
Locus_541_Transcript_5_Length_2468_genewise_newlength_2452__CDS__412__1782,adenosylhomocysteinase 1,GO:0005507,copper ion binding,F
Locus_4328_Transcript_3_Length_2315_genewise_newlength_1964__CDS__309__1661,adenylosuccinate synthetase,GO:0005829,cytosol,C
Locus_4328_Transcript_3_Length_2315_genewise_newlength_1964__CDS__309__1661,adenylosuccinate synthetase,GO:0004019,adenylosuccinate synthase activity,F
Locus_4328_Transcript_3_Length_2315_genewise_newlength_1964__CDS__309__1661,adenylosuccinate synthetase,GO:0009220,pyrimidine ribonucleotide biosynthetic process,P
Locus_4328_Transcript_3_Length_2315_genewise_newlength_1964__CDS__309__1661,adenylosuccinate synthetase,GO:0006167,AMP biosynthetic process,P
Locus_4328_Transcript_3_Length_2315_genewise_newlength_1964__CDS__309__1661,adenylosuccinate synthetase,GO:0009570,chloroplast stroma,C
Locus_4328_Transcript_3_Length_2315_genewise_newlength_1964__CDS__309__1661,adenylosuccinate synthetase,GO:0046686,response to cadmium ion,P
Locus_4328_Transcript_3_Length_2315_genewise_newlength_1964__CDS__309__1661,adenylosuccinate synthetase,GO:0048046,apoplast,C
Locus_4328_Transcript_3_Length_2315_genewise_newlength_1964__CDS__309__1661,adenylosuccinate synthetase,GO:0005525,GTP binding,F
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0010267,production of ta-siRNAs involved in RNA interference,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0048437,floral organ development,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0009793,embryo development ending in seed dormancy,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0010087,phloem or xylem histogenesis,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0004674,protein serine/threonine kinase activity,F
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0006346,methylation-dependent chromatin silencing,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0010285,"L,L-diaminopimelate aminotransferase activity",F
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0009965,leaf morphogenesis,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0048439,flower morphogenesis,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0010051,xylem and phloem pattern formation,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0009089,lysine biosynthetic process via diaminopimelate,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0035091,phosphatidylinositol binding,F
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0005507,copper ion binding,F
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0030140,trans-Golgi network transport vesicle,C
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0009693,ethylene biosynthetic process,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0009570,chloroplast stroma,C
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0008060,ARF GTPase activator activity,F
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0005829,cytosol,C
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0016049,cell growth,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0010050,vegetative phase change,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0009616,virus induced gene silencing,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0030244,cellulose biosynthetic process,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0009737,response to abscisic acid stimulus,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0009555,pollen development,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0000904,cell morphogenesis involved in differentiation,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0010014,meristem initiation,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0009733,response to auxin stimulus,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0035196,production of miRNAs involved in gene silencing by miRNA,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0048868,pollen tube development,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0005886,plasma membrane,C
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0006605,protein targeting,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0006897,endocytosis,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0005515,protein binding,F
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0031048,chromatin silencing by small RNA,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0048610,cellular process involved in reproduction,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0009862,"systemic acquired resistance, salicylic acid mediated signaling pathway",P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0003677,DNA binding,F
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0005773,vacuole,C
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0007267,cell-cell signaling,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0048193,Golgi vesicle transport,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0051567,histone H3-K9 methylation,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0046777,protein autophosphorylation,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0006007,glucose catabolic process,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0033043,regulation of organelle organization,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0048589,developmental growth,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0009855,determination of bilateral symmetry,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0005634,nucleus,C
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0010073,meristem maintenance,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0071555,cell wall organization,P
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0008270,zinc ion binding,F
Locus_1334_Transcript_2_Length_2954_genewise_newlength_2083__CDS__268__1665,adp-ribosylation factor gtpase-activating protein agd12,GO:0032312,regulation of ARF GTPase activity,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0009986,cell surface,C
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0009863,salicylic acid mediated signaling pathway,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0009738,abscisic acid mediated signaling pathway,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0009882,blue light photoreceptor activity,F
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0010155,regulation of proton transport,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0035091,phosphatidylinositol binding,F
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0010363,regulation of plant-type hypersensitive response,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0010200,response to chitin,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0045727,positive regulation of translation,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0070300,phosphatidic acid binding,F
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0005829,cytosol,C
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0010119,regulation of stomatal movement,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0009867,jasmonic acid mediated signaling pathway,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0009651,response to salt stress,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0004676,3-phosphoinositide-dependent protein kinase activity,F
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0030968,endoplasmic reticulum unfolded protein response,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0006612,protein targeting to membrane,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0009898,internal side of plasma membrane,C
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0009903,chloroplast avoidance movement,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0048868,pollen tube development,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0010181,FMN binding,F
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0009638,phototropism,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0016070,RNA metabolic process,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0009723,response to ethylene stimulus,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0009408,response to heat,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0042802,identical protein binding,F
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0005794,Golgi apparatus,C
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0048610,cellular process involved in reproduction,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0009826,unidimensional cell growth,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0010362,negative regulation of anion channel activity by blue light,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0005773,vacuole,C
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0046777,protein autophosphorylation,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0035556,intracellular signal transduction,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0009409,response to cold,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0005634,nucleus,C
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0045860,positive regulation of protein kinase activity,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0009904,chloroplast accumulation movement,P
Locus_2116_Transcript_7_Length_2352_genewise_newlength_2352__CDS__917__2350,agc (camp- cgmp-dependent and protein kinase c) kinase family protein,GO:0005524,ATP binding,F
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:0006325,chromatin organization,P
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:0044260,cellular macromolecule metabolic process,P
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:0090304,nucleic acid metabolic process,P
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:0009791,post-embryonic development,P
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:0009506,plasmodesma,C
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:0009653,anatomical structure morphogenesis,P
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:0048513,organ development,P
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:0016458,gene silencing,P
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:0010033,response to organic substance,P
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:1901698,response to nitrogen compound,P
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:0044767,single-organism developmental process,P
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:0005634,nucleus,C
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:0043412,macromolecule modification,P
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:0040029,"regulation of gene expression, epigenetic",P
Locus_5232_Transcript_5_Length_3956_genewise_newlength_3956__CDS__825__2387,agenet domain-containing protein,GO:0003682,chromatin binding,F
Locus_3062_Transcript_2_Length_1583_genewise_newlength_1452__CDS__210__1274,aha1 domain-containing protein,GO:0006457,protein folding,P
Locus_3062_Transcript_2_Length_1583_genewise_newlength_1452__CDS__210__1274,aha1 domain-containing protein,GO:0009644,response to high light intensity,P
Locus_3062_Transcript_2_Length_1583_genewise_newlength_1452__CDS__210__1274,aha1 domain-containing protein,GO:0034976,response to endoplasmic reticulum stress,P
Locus_3062_Transcript_2_Length_1583_genewise_newlength_1452__CDS__210__1274,aha1 domain-containing protein,GO:0042542,response to hydrogen peroxide,P
Locus_3062_Transcript_2_Length_1583_genewise_newlength_1452__CDS__210__1274,aha1 domain-containing protein,GO:0005634,nucleus,C
Locus_3062_Transcript_2_Length_1583_genewise_newlength_1452__CDS__210__1274,aha1 domain-containing protein,GO:0005829,cytosol,C
Locus_3062_Transcript_2_Length_1583_genewise_newlength_1452__CDS__210__1274,aha1 domain-containing protein,GO:0009408,response to heat,P
Locus_3062_Transcript_2_Length_1583_genewise_newlength_1452__CDS__210__1274,aha1 domain-containing protein,GO:0051087,chaperone binding,F
Locus_3062_Transcript_2_Length_1583_genewise_newlength_1452__CDS__210__1274,aha1 domain-containing protein,GO:0001671,ATPase activator activity,F
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0048827,phyllome development,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0048437,floral organ development,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0044446,intracellular organelle part,C
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:1901362,organic cyclic compound biosynthetic process,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0048519,negative regulation of biological process,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:1901135,carbohydrate derivative metabolic process,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0006996,organelle organization,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0008610,lipid biosynthetic process,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0005783,endoplasmic reticulum,C
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0019438,aromatic compound biosynthetic process,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:1901700,response to oxygen-containing compound,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0010584,pollen exine formation,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0006952,defense response,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0006396,RNA processing,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0044550,secondary metabolite biosynthetic process,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0016482,cytoplasmic transport,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0009266,response to temperature stimulus,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0006970,response to osmotic stress,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:1901564,organonitrogen compound metabolic process,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",F
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0060255,regulation of macromolecule metabolic process,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0043566,structure-specific DNA binding,F
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0043067,regulation of programmed cell death,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0044281,small molecule metabolic process,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0010033,response to organic substance,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0046148,pigment biosynthetic process,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0071702,organic substance transport,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0005515,protein binding,F
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0009813,flavonoid biosynthetic process,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0080167,response to karrikin,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0003723,RNA binding,F
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0010038,response to metal ion,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0048438,floral whorl development,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0018024,histone-lysine N-methyltransferase activity,F
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0071944,cell periphery,C
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0016116,carotenoid metabolic process,P
